,Код КПГЗ,Код ОКПД-2 (ОКПД2014)
439,03.06.04.12,71.12.20.190
440,03.06.04.14.06,71.12.20.190
441,03.06.04.14.07,71.12.20.190
442,03.06.04.16.01,71.12.20.190
443,03.06.04.17.01,71.12.20.190
444,03.06.04.18.02,71.12.20.190
445,03.06.04.20.01,71.12.20.190
446,03.06.04.20.04,71.12.20.190
447,01.15.07.06,22.29.25
448,01.13.10.02,62.01.29
449,01.25.03.02.03,28.99.39.190
450,02.03.01.01.01,41.20.30
451,02.03.01.02.05,41.20.40
452,02.06.03.05,43.12.11.190
453,03.06.04.20.08,71.12.20.190
454,03.06.04.20.13,71.12.20.190
455,03.06.04.23,71.12.20.190
456,03.07.01.04,43.99.90.190
457,03.07.05.02.02,95.21
458,03.07.08,33.12.29.900
459,03.08.01.01.01,81.21.10.000
460,03.08.01.04,33.13.12.000
461,03.10.02.05.04,43.29.11.140
462,03.10.02.06,84.25.11.110
463,03.10.02.99,80.10.19.000
464,03.31.02.01,77.39.19.129
465,02.12.03.05,33.20.39
466,03.11.02,36.00.20
467,03.12.01.02,61.20.11.000
468,03.12.04.02,63.11.21.000
469,03.12.05.02,53.20.11.120
470,03.12.08,61.90.10.191
471,03.13.07,62.02.10.000
472,03.15,73.11.1
473,03.16.01,86.90.19.140
474,03.16.02,55.90.19.000
475,03.17,94.99.19.150
476,03.17.03.04,90.03.11
477,03.20.05,52.10.12.120
478,03.22.03,69.20.10.000
479,03.22.06,94.11.10.000
480,03.25.01,66.12.11.110
481,03.27,75.00.1
482,03.27.99,75.00.19.000
483,03.28.04,01.62.10.190
484,01.06.99.01,31.09
485,03.30.01.02,71.12
486,03.30.02,71.12
487,03.31.01.04,68.20.12.000
488,03.31.04.01,77.33.11.140
489,03.32,49.41.14
490,03.33.01,49.31
491,03.33.01.02,49.32.11.000
492,03.35.05,62.02.10.000
493,03.36.02.01,95.29.19
494,03.36.02.03,95.29.13.000
495,03.41.01,52.23.11.000
496,03.42.01,71.11.21.000
497,03.31.03.05.01.03,43.99.90.160
498,03.31.03.05.01.22,43.99.90.160
499,03.31.03.05.02.07,77.32.10.000
500,03.31.03.05.02.36,77.32.10.000
